movie_id,movie_title,franchise,release_year,release_date,decade,movie_type,genre,sub_genre,runtime_minutes,rating,language,country,director,producer,composer,lead_actor,lead_actress,animation_type,studio,budget_million_usd,box_office_million_usd,production_cost_million_usd,marketing_cost_million_usd,opening_weekend_million_usd,domestic_box_office_million_usd,international_box_office_million_usd,roi_percent,imdb_rating,rotten_tomatoes_score,metacritic_score,audience_score,cinemas_released,streaming_platform,streaming_release_date,disney_plus_available,awards_won,oscar_nominations,oscar_wins,soundtrack_popularity,number_of_songs,has_post_credit_scene,villain_name,main_character,princess_movie,animal_sidekick,magic_theme,musical,family_friendly,based_on_book,based_on_true_story,remake,sequel,prequel,cinematic_universe,target_age_group,merchandise_sales_million_usd,theme_park_attraction,theme_park_name,video_game_adaptation,mobile_game_available,global_popularity_index,fan_rating,critic_rating,rewatchability_score,cultural_impact_score,social_media_mentions_million,search_popularity,holiday_release,summer_release,streaming_hours_million,home_media_sales_million,inflation_adjusted_box_office_million,profit_million,profit_category,success_category
DIS00016,The Magic the Sea: Chronicles,The Magic the Sea,1939,1939-12-18,1930s,Disney Channel Original,Fantasy,Road Trip,114,PG,Hindi,USA,Jon Favreau,Osnat Shurer,James Newton Howard,Ewan McGregor,Kristen Bell,2D,Marvel Studios,443.1,756.4,398.8,127.0,59.4,458.9,297.5,43.9,6.3,49,60,61,4379,Disney+,1940-06-05,Yes,1,0,0,44,2,Yes,Gaston,Mike Wazowski,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Marvel Cinematic Universe,Kids,138.0,No,None,No,No,46.6,6.0,5.0,3.2,5.0,16.45,36,Yes,No,16.0,64.4,2401.6,230.6,Medium Profit,Average
DIS00017,Tale of the North,Standalone,2023,2023-07-08,2020s,Pixar,Fantasy,Holiday,148,PG-13,Spanish,USA,Craig Gillespie,Peter Del Vecho,Hans Zimmer,Dwayne Johnson,Halle Bailey,2D,Pixar Animation Studios,18.2,34.3,16.1,4.7,2.4,12.1,22.2,64.9,9.5,97,81,98,958,DisneyNOW,2023-12-08,No,4,2,0,34,5,No,Gaston,Judy Hopps,No,No,Yes,Yes,No,No,No,No,No,No,None,Teen,80.3,No,None,No,No,41.5,9.2,9.9,4.5,3.5,11.29,51,No,Yes,0.0,6.7,36.9,13.5,Medium Profit,Average
DIS00018,Tale of the North (Remake),Tale of the North,1989,1989-05-25,1980s,Live Action,Musical,Sports,110,PG,Hindi,USA,Chris Buck,Jared Bush,Thomas Newman,Chris Evans,Emma Watson,None,Disneytoon Studios,149.8,837.2,134.6,52.1,66.6,352.7,484.5,348.4,5.4,47,45,62,1440,Theatrical Only,,No,0,0,0,64,4,No,Chernabog,Mulan,Yes,No,No,Yes,Yes,No,No,No,No,No,None,Everyone,37.9,No,None,No,No,42.3,5.6,5.3,3.8,3.9,9.71,40,No,No,0.0,162.4,1611.6,650.5,Massive Profit,Blockbuster
DIS00019,National Treasure 2,Standalone,1959,1959-12-13,1950s,Remake,Action,Sports,163,G,English,USA,Craig Gillespie,Kevin Feige,Christophe Beck,Ewan McGregor,Anne Hathaway,None,Walt Disney Pictures,27.7,13.0,21.1,10.4,1.4,7.5,5.5,-58.7,6.6,63,58,67,1750,Disney+,1960-07-01,Yes,0,0,0,31,2,No,Scar,Ralph,No,No,No,No,Yes,No,No,Yes,No,No,None,Teen,21.5,No,None,No,No,10.5,6.2,5.9,2.5,1.3,3.94,1,Yes,No,9.9,0.9,34.8,-18.5,Loss,Flop
DIS00020,Encanto,Standalone,1949,1949-12-06,1940s,Animated,Family,Superhero,166,PG,English,Canada,Craig Gillespie,Jared Bush,James Newton Howard,Jason Segel,Idina Menzel,3D CGI,Walt Disney Pictures,54.2,134.6,46.8,18.8,5.8,47.5,87.1,105.2,7.8,90,77,76,625,Theatrical Only,,No,4,1,1,60,0,No,Hades,WALL-E,No,Yes,No,No,Yes,No,Yes,No,No,No,None,Kids,56.6,No,None,No,No,34.2,7.3,9.0,2.9,2.7,10.19,48,Yes,No,0.0,24.7,393.7,69.0,High Profit,Hit
DIS00021,Legend of the North 2,Standalone,1997,1997-09-02,1990s,Disney Channel Original,Comedy,Road Trip,82,G,Spanish,Japan,Rob Marshall,Osnat Shurer,Randy Newman,Will Smith,Lily James,Stop Motion,Lucasfilm,230.7,1618.6,173.8,103.4,107.6,720.9,897.7,483.9,7.1,65,63,63,1229,Theatrical Only,,No,1,0,0,23,5,Yes,Cruella de Vil,Merida,Yes,No,Yes,Yes,Yes,No,No,No,No,No,None,Kids,171.4,Yes,Disney's Animal Kingdom,No,No,78.3,7.2,7.0,8.9,7.7,30.87,76,No,No,0.0,207.2,2792.1,1341.4,Massive Profit,Mega Blockbuster
DIS00022,Pocahontas 4,Pocahontas,2017,2017-02-19,2010s,Disney Channel Original,Family,Road Trip,121,PG-13,Multiple,UK,Kirk Wise,Jason Owen,Lin-Manuel Miranda,Robert Downey Jr.,Anne Hathaway,Stop Motion,Walt Disney Animation Studios,432.9,484.6,399.0,185.3,63.6,279.0,205.6,-17.1,4.8,32,35,39,1097,Disney+,2017-05-20,Yes,0,0,0,60,13,No,Chernabog,Pocahontas,Yes,No,No,Yes,No,Yes,No,No,No,Yes,None,Teen,92.4,No,None,No,No,39.0,4.8,3.9,3.8,4.0,6.31,64,No,No,26.1,68.0,593.6,-99.7,Loss,Average
DIS00023,The Enchanted Stardust (Remake),The Enchanted Stardust,2019,2019-05-11,2010s,Remake,Action,Heist,160,PG,English,USA,Ron Clements,Roy Conli,Randy Newman,Johnny Depp,Emma Watson,None,Disney Channel Productions,77.5,207.6,72.9,20.2,37.5,127.8,79.8,123.0,6.9,57,68,59,1024,Disney+,2019-12-19,Yes,0,0,0,55,10,No,Captain Hook,Bob Parr,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,None,Everyone,32.1,No,None,No,No,27.4,6.9,5.8,3.7,1.9,10.51,19,No,No,15.7,27.6,243.9,114.5,High Profit,Hit
DIS00024,The Muppets,The Muppets,2013,2013-07-05,2010s,Animated,Family,Time Travel,70,G,Japanese,UK,David Lowery,Peter Del Vecho,Lin-Manuel Miranda,Ryan Reynolds,Emma Stone,Stop Motion,Walt Disney Pictures,76.3,438.9,68.4,20.9,48.7,228.3,210.6,391.5,6.9,61,73,63,1513,Disney+,2014-01-19,Yes,1,1,0,58,5,No,Shan Yu,Pocahontas,Yes,No,No,Yes,Yes,No,No,No,Yes,No,None,Teen,78.0,No,None,No,No,34.7,6.6,6.1,2.9,3.3,7.69,33,No,Yes,24.0,30.6,581.5,349.6,Massive Profit,Blockbuster
DIS00025,The Parent Trap,The Parent Trap,2012,2012-12-04,2010s,Disney Channel Original,Drama,Coming of Age,81,G,English,Canada,Nathan Greno,Osnat Shurer,Germaine Franco,Robert Downey Jr.,Zendaya,Hybrid,Walt Disney Pictures,251.7,296.6,190.3,57.8,18.9,97.6,199.0,19.5,7.3,78,69,70,3141,DisneyNOW,2013-04-06,No,1,3,0,73,15,No,Mother Gothel,Winnie the Pooh,No,No,No,Yes,Yes,Yes,No,No,No,No,None,Teen,87.5,No,None,No,No,34.9,6.9,7.7,2.7,4.2,3.32,33,Yes,No,0.0,32.3,400.4,48.5,Low Profit,Average
DIS00026,Kingdom of the Sea: Adventure,Kingdom of the Sea,1968,1968-09-13,1960s,Live Action,Comedy,Fairy Tale,99,G,English,India,Niki Caro,Kathleen Kennedy,Germaine Franco,Chris Pratt,Zoe Saldana,None,Marvel Studios,271.9,1060.4,222.6,66.4,137.7,437.6,622.8,266.9,7.5,60,72,73,3139,DisneyNOW,1969-07-25,No,2,0,0,57,11,Yes,Shan Yu,Rapunzel,Yes,No,No,Yes,Yes,No,No,No,No,No,Marvel Cinematic Universe,Everyone,77.2,No,None,No,No,57.9,7.6,6.3,5.4,6.4,3.3,48,No,No,0.0,189.9,2598.0,771.4,Massive Profit,Hit
DIS00027,Descendants,Standalone,2016,2016-04-21,2010s,Live Action,Fantasy,Coming of Age,78,PG-13,Japanese,USA,John Musker,Jonas Rivera,Michael Giacchino,Jason Segel,Anne Hathaway,None,20th Century Studios,131.2,501.3,103.7,44.0,68.8,202.8,298.5,239.4,4.4,26,30,41,3371,Disney+,2017-05-17,Yes,0,0,0,59,1,No,Cruella de Vil,Cinderella,Yes,No,Yes,No,No,No,No,No,No,No,None,Everyone,103.8,No,None,No,No,31.8,4.1,3.0,3.9,3.3,5.31,25,No,No,36.0,88.5,626.6,353.6,Massive Profit,Hit
DIS00028,Legend of the Isles,Legend of the Isles,1999,1999-03-21,1990s,Short Film,Drama,Sports,73,PG,Multiple,India,Niki Caro,Jason Owen,Lin-Manuel Miranda,Idris Elba,Lily James,3D CGI,20th Century Studios,208.1,334.9,168.1,55.0,31.9,149.0,185.9,50.1,8.4,80,89,82,2422,Disney+,1999-09-21,Yes,1,1,1,33,0,No,Cruella de Vil,Judy Hopps,No,No,Yes,No,Yes,Yes,No,No,No,No,None,Everyone,50.4,No,None,No,No,45.7,8.5,7.9,5.0,4.9,16.44,42,No,No,48.0,25.6,561.0,111.8,Medium Profit,Average
DIS00029,Descendants (Remake),Descendants,1987,1987-10-18,1980s,Short Film,Comedy,Road Trip,60,PG,Spanish,USA,Brad Bird,Yvett Merino,Christophe Beck,Idris Elba,Kristen Bell,3D CGI,Walt Disney Pictures,449.7,985.0,402.7,199.7,119.9,530.5,454.5,63.5,7.5,76,73,68,4468,Disney+,1988-04-05,Yes,2,2,0,56,2,No,Gaston,Hercules,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,None,Kids,69.4,No,None,No,No,58.0,7.3,7.5,5.6,5.6,19.61,57,No,No,60.4,128.9,1945.4,382.6,Medium Profit,Hit
DIS00030,Adventures of the Realm 3,Adventures of the Realm,1972,1972-08-07,1970s,Pixar,Drama,Holiday,102,PG,English,Japan,Ron Clements,Roy Conli,Alan Menken,Ewan McGregor,Emma Stone,Hybrid,Walt Disney Animation Studios,229.4,1237.4,188.9,58.5,209.1,714.1,523.3,400.2,7.6,76,68,82,3509,Theatrical Only,,No,1,1,1,52,0,No,Mother Gothel,Carl Fredricksen,No,No,No,No,Yes,Yes,No,No,No,No,None,Everyone,143.0,No,None,Yes,Yes,59.0,7.3,7.3,8.4,7.6,3.5,56,No,Yes,0.0,139.6,2907.9,990.0,Massive Profit,Blockbuster
DIS00031,Tale of the Isles,Tale of the Isles,1977,1977-02-11,1970s,Live Action,Musical,Mystery,158,PG,English,Japan,Rich Moore,Osnat Shurer,Michael Giacchino,Ewan McGregor,Anne Hathaway,None,Walt Disney Animation Studios,237.3,360.8,210.1,51.4,39.6,234.4,126.4,38.0,6.5,59,61,61,1582,Theatrical Only,,No,0,0,0,89,14,No,Maleficent,Belle,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,None,Everyone,53.5,No,None,No,No,30.3,6.6,5.9,2.4,2.5,5.34,23,No,No,0.0,32.4,802.8,99.3,Medium Profit,Average
DIS00032,Legend of the Isles 4,Legend of the Isles,1939,1939-12-19,1930s,Live Action,Animation,Road Trip,73,PG,English,Canada,Gary Trousdale,Jared Bush,Thomas Newman,Chris Pratt,Halle Bailey,None,Pixar Animation Studios,52.8,33.5,40.9,21.8,4.0,12.9,20.6,-46.6,7.3,74,61,75,749,Disney+,1940-06-06,Yes,2,2,0,59,2,No,Scar,Mike Wazowski,No,Yes,Yes,No,Yes,No,No,No,Yes,No,None,Family,106.2,No,None,No,No,32.0,7.0,8.1,2.7,4.0,8.69,29,Yes,No,20.9,3.3,106.4,-29.2,Loss,Flop
DIS00033,Inside Out,Inside Out,1963,1963-08-10,1960s,Short Film,Adventure,Coming of Age,132,PG,Multiple,USA,Jon Favreau,Roy Conli,Michael Giacchino,Will Smith,Idina Menzel,Hybrid,Pixar Animation Studios,147.7,194.4,113.6,35.7,16.2,77.2,117.2,30.2,7.7,70,72,76,2604,Disney+ Hotstar,1964-07-16,Yes,3,2,0,96,11,No,Captain Hook,Stitch,No,Yes,No,Yes,Yes,No,No,No,No,Yes,None,Teen,93.1,No,None,No,No,32.2,7.3,7.0,5.2,3.9,4.66,29,No,Yes,24.1,25.4,500.6,45.1,Medium Profit,Average
DIS00034,The Magic the Forest,The Magic the Forest,1940,1940-11-06,1940s,Remake,Romance,Buddy Comedy,186,PG,English,UK,Jennifer Lee,Roy Conli,Alan Menken,Johnny Depp,Auli'i Cravalho,None,Disney Channel Productions,171.6,131.7,145.2,58.5,10.5,40.3,91.4,-35.3,8.2,59,76,76,4012,Disney+,1941-10-31,Yes,1,1,0,32,2,No,Captain Hook,Aladdin,No,Yes,No,No,Yes,No,No,Yes,Yes,No,None,Family,109.8,No,None,No,No,32.7,8.3,5.3,3.1,3.9,5.57,24,Yes,No,21.7,22.6,414.9,-72.0,Loss,Flop
DIS00035,Kingdom of Dreams 3,Kingdom of Dreams,1996,1996-11-18,1990s,Short Film,Romance,Buddy Comedy,107,PG,English,USA,Kirk Wise,Jason Owen,Lin-Manuel Miranda,Robert Downey Jr.,Angelina Jolie,2D,Disneytoon Studios,196.8,113.0,186.7,86.5,20.3,71.9,41.1,-58.6,7.8,74,72,82,2216,Disney+,1997-10-03,Yes,0,0,0,61,2,No,Judge Frollo,Rapunzel,Yes,No,No,No,Yes,No,Yes,No,No,No,None,Kids,93.4,No,None,No,No,27.2,7.9,6.9,4.0,3.7,8.1,15,Yes,No,28.8,21.6,197.8,-160.2,Loss,Flop
DIS00036,Robin Hood (Remake),Robin Hood,2009,2009-12-25,2000s,Disney Channel Original,Family,Holiday,88,PG,English,UK,Niki Caro,Jason Owen,Germaine Franco,Josh Gad,Emma Stone,Stop Motion,Disneytoon Studios,318.7,928.3,263.7,92.6,67.0,476.2,452.1,160.5,5.6,46,39,46,4387,Theatrical Only,,No,0,0,0,100,14,No,Ursula,Judy Hopps,No,No,No,Yes,Yes,No,No,No,Yes,No,None,Everyone,63.1,No,None,No,No,46.9,5.5,4.4,5.4,4.9,11.16,47,Yes,No,0.0,157.9,1322.8,572.0,Massive Profit,Hit
DIS00037,Tale of the Isles,Tale of the Isles,1955,1955-02-10,1950s,Remake,Romance,Mystery,121,G,English,Canada,Rich Moore,Osnat Shurer,Randy Newman,Ryan Reynolds,Halle Bailey,Stop Motion,Lucasfilm,199.8,1700.9,180.7,67.0,193.1,996.8,704.1,586.7,7.0,56,69,74,1403,Theatrical Only,,No,1,1,1,76,11,No,Chernabog,Elsa,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,None,Family,147.3,Yes,EPCOT,No,No,70.7,7.4,5.5,7.4,9.2,15.14,68,No,No,0.0,250.4,4720.0,1453.2,Massive Profit,Mega Blockbuster
DIS00038,Tale of the Realm: Journey,Tale of the Realm,1982,1982-03-24,1980s,Remake,Comedy,Holiday,99,PG,English,USA,Chris Buck,Peter Del Vecho,Randy Newman,Chris Pratt,Sofia Carson,None,Marvel Studios,299.8,1175.6,247.1,91.8,101.6,430.0,745.6,246.9,5.4,29,33,37,1890,Disney+,1982-09-18,Yes,0,0,0,60,5,Yes,Yzma,Tiana,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Marvel Cinematic Universe,Teen,108.6,No,None,Yes,Yes,61.5,5.5,3.1,6.3,6.4,18.32,55,No,No,33.6,113.2,2468.8,836.7,Massive Profit,Hit
DIS00039,Bambi,Standalone,1987,1987-06-13,1980s,Disney Channel Original,Drama,Heist,91,PG,English,UK,Brad Bird,Jonas Rivera,Hans Zimmer,Jason Segel,Zendaya,Stop Motion,Pixar Animation Studios,337.9,1806.0,308.9,87.9,151.9,945.8,860.2,355.1,6.6,62,43,63,3628,DisneyNOW,1987-10-10,No,0,0,0,63,0,No,Hades,Tarzan,No,Yes,No,No,Yes,No,No,No,No,No,None,Family,163.6,Yes,Shanghai Disneyland,Yes,Yes,80.0,6.0,5.7,5.3,7.8,29.44,77,No,Yes,0.0,224.2,3566.9,1409.2,Massive Profit,Blockbuster
DIS00040,Up,Up,1988,1988-12-03,1980s,Pixar,Romance,Sports,153,PG,Multiple,USA,Andrew Stanton,Jonas Rivera,Christophe Beck,Dwayne Johnson,Halle Bailey,2D,Walt Disney Pictures,357.9,2499.7,330.9,151.2,286.7,1349.8,1149.9,418.5,6.7,70,58,54,1400,Disney+,1990-01-05,Yes,0,0,0,59,10,No,Scar,Hiro,No,Yes,No,Yes,Yes,No,No,No,Yes,No,None,Family,154.6,No,None,Yes,Yes,100.0,6.7,6.8,10.0,9.3,33.51,92,Yes,No,68.9,219.9,4874.4,2017.6,Massive Profit,Blockbuster
DIS00041,The Golden Stardust,The Golden Stardust,2004,2004-11-23,2000s,Animated,Romance,Road Trip,87,PG,English,USA,Rob Marshall,Peter Del Vecho,Germaine Franco,Tom Holland,Kristen Bell,Hybrid,20th Century Studios,6.9,27.5,5.2,1.7,4.0,12.9,14.6,298.6,6.0,48,39,41,1446,Disney+,2005-03-27,Yes,0,0,0,51,2,No,Scar,Aurora,Yes,Yes,No,No,Yes,No,No,No,No,No,None,Family,80.0,No,None,No,No,24.6,6.4,4.2,2.1,3.5,3.72,26,Yes,No,25.2,2.5,42.6,20.6,Massive Profit,Hit
